epoch,loss,provider_acc,quality_acc,provider_ks
1,2.900217,,,
2,2.277076,,,
3,1.676459,,,
4,1.394253,,,
5,1.232292,0.9828234031132582,0.9871175523349437,0.0211
6,1.104847,,,
7,1.005466,,,
8,0.917679,,,
9,0.854262,,,
10,0.793915,0.9656468062265163,0.9887278582930756,0.0143
11,0.736637,,,
12,0.699913,,,
13,0.656795,,,
14,0.631475,,,
15,0.607604,0.9411764705882353,0.9919050188882893,0.0104
16,0.563662,,,
17,0.560308,,,
18,0.534402,,,
19,0.520318,,,
20,0.492382,0.9135602377093462,0.9881145326850351,0.012
21,0.473254,,,
22,0.469088,,,
23,0.445955,,,
24,0.438023,,,
25,0.428733,0.9109919571045576,0.9892761394101877,0.0117
26,0.420183,,,
27,0.413602,,,
28,0.400574,,,
29,0.37972,,,
30,0.385672,0.8999462076385153,0.9892415277030662,0.0134
31,0.373269,,,
32,0.361759,,,
33,0.361175,,,
34,0.351817,,,
35,0.348753,0.9170705438879914,0.9876144318793754,0.0134
36,0.339728,,,
37,0.339978,,,
38,0.334881,,,
39,0.322475,,,
40,0.322822,0.8855454056958625,0.9908651262761956,0.0139
41,0.321654,,,
42,0.315664,,,
43,0.308749,,,
44,0.314333,,,
45,0.305582,0.8998384491114702,0.9919224555735057,0.0156
46,0.296913,,,
47,0.295083,,,
48,0.291117,,,
49,0.289759,,,
50,0.281328,0.8817494600431965,0.9913606911447084,0.0141
51,0.279436,,,
52,0.280305,,,
53,0.26826,,,
54,0.270382,,,
55,0.265719,0.8789020452099031,0.9908503767491926,0.0149
56,0.264424,,,
57,0.260508,,,
58,0.256862,,,
59,0.25119,,,
60,0.254702,0.8821947283485745,0.9908552985476062,0.0141
61,0.249323,,,
62,0.245396,,,
63,0.241485,,,
64,0.239524,,,
65,0.231699,0.8710895361380798,0.9956850053937433,0.016
66,0.231541,,,
67,0.231928,,,
68,0.227258,,,
69,0.224499,,,
70,0.225995,0.8624595469255664,0.9929881337648327,0.0167
71,0.224436,,,
72,0.22428,,,
73,0.215565,,,
74,0.214485,,,
75,0.214759,0.8428417653390743,0.9930032292787944,0.0155
76,0.215104,,,
77,0.20681,,,
78,0.20544,,,
79,0.207099,,,
80,0.206251,0.8642241379310345,0.990301724137931,0.0191
81,0.205727,,,
82,0.203261,,,
83,0.20387,,,
84,0.197145,,,
85,0.197231,0.874054054054054,0.987027027027027,0.02
86,0.195779,,,
87,0.193627,,,
88,0.191687,,,
89,0.196655,,,
90,0.194882,0.8569892473118279,0.9924731182795699,0.0145
91,0.193339,,,
92,0.189239,,,
93,0.19138,,,
94,0.19091,,,
95,0.192981,0.8624595469255664,0.9929881337648327,0.0145
96,0.187288,,,
97,0.186441,,,
98,0.190749,,,
99,0.188887,,,
100,0.186599,0.8396124865446717,0.9924650161463939,0.0161
