epoch,loss
1,0.296591
2,0.221693
3,0.206975
4,0.197588
5,0.191432
6,0.18704
7,0.183554
8,0.180486
9,0.177944
10,0.175784
11,0.174255
12,0.172747
13,0.171024
14,0.169331
15,0.167898
16,0.16685
17,0.165728
18,0.165332
19,0.16411
20,0.163494
21,0.162743
22,0.162173
23,0.161906
24,0.161118
25,0.160913
26,0.160483
27,0.160419
28,0.159913
29,0.159703
30,0.159608
